Dynamic level (m),Reservoir pressure (atm)
1819,214
1836,214
1788,214
1789,214
1825,214
1781,214
1790,214
1784,214
1831,214
1831,214
1828,214
1761,214
1789,214
1764,213
1764,213
1764,213
1754,213
1763,213
1768,213
1785,213
1788,213
1779,213
1786,213
1769,213
1781,213
1789,213
1785,213
1787,213
1779,213
1780,213
1780,213
1774,213
1766,213
1783,213
1770,213
1781,213
1773,213
1772,213
1764,213
1766,212
1763,212
1783,212
1784,212
1782,212
1793,212
1787,212
1781,212
1783,212
1788,212
1792,212
1794,212
1819,212
1837,212
1830,212
1838,212
1843,212
1854,212
1877,212
1939,212
1843,212
1849,212
1861,212
1832,212
1831,212
1847,212
1845,211
1853,211
1940,211
1852,211
1854,211
1855,211
1861,211
1847,211
1854,211
1823,211
1831,211
1901,211
1887,211
1851,211
1872,211
1869,211
1881,211
1874,211
1863,211
1870,211
1836,211
1853,211
1862,211
1867,211
1862,211
1858,211
1858,210
1857,210
1857,210
1841,210
1849,210
1862,210
1849,210
1877,210
1829,210
1841,210
1833,210
1846,210
1852,210
1853,210
1847,210
1861,210
1896,210
1985,210
1873,210
1863,210
1874,210
1870,210
1876,210
1865,210
1871,210
1870,210
1877,209
1877,209
1871,209
1874,209
1843,209
1859,209
1865,209
1872,209
1877,209
1876,209
1871,209
1873,209
1874,209
1882,209
1886,209
1889,209
1879,209
1879,209
1883,209
1874,209
1872,209
1870,209
1872,209
1884,209
1889,209
1893,208
1907,208
1902,208
1896,208
1878,208
1892,208
1890,208
1853,208
1869,208
1879,208
1873,208
1875,208
1875,208
1884,208
1889,208
1887,208
1894,208
1879,208
1862,208
1877,208
1890,208
1898,208
1897,208
1896,208
1898,208
1898,208
1897,207
1896,207
1898,207
1896,207
1898,207
1899,207
1901,207
1904,207
1902,207
1897,207
1897,207
1896,207
1908,207
1849,207
1868,207
1870,207
1872,207
1876,207
1880,207
1877,207
1877,207
1882,207
1884,207
1869,207
1881,207
1887,207
1891,206
1887,206
1891,206
1879,206
1892,206
1901,206
1907,206
1887,206
1884,206
1883,206
1907,206
1909,206
1899,206
1877,206
1876,206
1884,206
1885,206
1890,206
1876,206
1889,206
1877,206
1872,206
1874,206
1874,206
1883,206
1877,206
1879,205
1877,205
1917,205
1920,205
1917,205
1919,205
1924,205
1923,205
1923,205
1920,205
1922,205
1917,205
1916,205
1920,205
1903,205
1903,205
1897,205
1895,205
1891,205
1895,205
1894,205
1904,205
1905,205
1898,205
1903,205
1907,204
1905,204
1907,204
1907,204
1889,204
1885,204
1887,204
1861,204
1858,204
1857,204
1860,204
1858,204
1838,204
1841,204
1844,204
1828,204
1837,204
1842,204
1840,204
1843,204
1849,204
1845,204
1842,204
1847,204
1843,204
1840,204
1847,203
1847,203
1791,203
1811,203
1808,203
1812,203
1807,203
1813,203
1820,203
1815,203
1821,203
1816,203
1817,203
1819,203
1821,203
1833,203
1879,203
1832,203
1838,203
1838,203
1835,203
1835,203
1837,203
1739,203
1938,203
1937,203
1739,202
1736,202
1740,202
